N,종목명,현재가,전일비,등락률,액면가,시가,고가,저가
36.0,한화오션,44000.0,350.0,-0.79%,5000.0,44350.0,46050.0,43700.0
37.0,대한항공,25850.0,400.0,-1.52%,5000.0,26250.0,26250.0,25700.0
38.0,HMM,19130.0,1170.0,-5.76%,5000.0,21050.0,21250.0,19000.0
39.0,고려아연,465500.0,3500.0,-0.75%,5000.0,465000.0,467500.0,458000.0
40.0,HD한국조선해양,125400.0,200.0,+0.16%,5000.0,125200.0,126600.0,123500.0
41.0,포스코인터내셔널,49700.0,900.0,+1.84%,5000.0,47800.0,49800.0,46500.0
42.0,크래프톤,179700.0,1300.0,-0.72%,100.0,180100.0,181400.0,178100.0
43.0,우리금융지주,11750.0,110.0,+0.95%,5000.0,11640.0,11750.0,11550.0
44.0,기업은행,10220.0,60.0,+0.59%,5000.0,10130.0,10230.0,10130.0
45.0,S-Oil,70900.0,700.0,+1.00%,2500.0,70000.0,71200.0,69900.0
46.0,KT,30050.0,650.0,+2.21%,5000.0,29600.0,30100.0,29550.0
47.0,한화솔루션,44050.0,400.0,-0.90%,5000.0,44200.0,44550.0,43700.0
48.0,삼성중공업,8590.0,60.0,+0.70%,1000.0,8530.0,8770.0,8480.0
49.0,금양,124300.0,15800.0,+14.56%,500.0,111700.0,128900.0,110900.0
50.0,LG생활건강,446500.0,1000.0,+0.22%,5000.0,442000.0,450500.0,442000.0
51.0,현대글로비스,184600.0,2700.0,-1.44%,500.0,186900.0,187300.0,180000.0
52.0,SK아이이테크놀로지,95400.0,100.0,+0.10%,1000.0,93700.0,96200.0,91600.0
53.0,카카오페이,50500.0,650.0,+1.30%,500.0,49100.0,50900.0,49100.0
54.0,LG이노텍,282000.0,7000.0,-2.42%,5000.0,285500.0,287500.0,282000.0
55.0,SK바이오팜,85200.0,200.0,-0.23%,500.0,85400.0,87000.0,84000.0
56.0,SK스퀘어,46350.0,350.0,-0.75%,100.0,46700.0,46700.0,45500.0
57.0,삼성엔지니어링,33250.0,950.0,+2.94%,5000.0,32450.0,33800.0,32100.0
58.0,한화에어로스페이스,128000.0,100.0,+0.08%,5000.0,127900.0,128900.0,126000.0
59.0,코스모신소재,206000.0,0.0,0.00%,1000.0,200000.0,208500.0,198700.0
60.0,롯데케미칼,147600.0,1300.0,-0.87%,5000.0,148800.0,148800.0,146600.0
61.0,엔씨소프트,285500.0,500.0,+0.18%,500.0,282500.0,286000.0,280000.0
62.0,KODEX 200,34345.0,5.0,-0.01%,0.0,34100.0,34355.0,33895.0
63.0,아모레퍼시픽,103100.0,1100.0,+1.08%,500.0,101900.0,104600.0,101800.0
64.0,두산밥캣,59700.0,400.0,+0.67%,500.0,59300.0,59900.0,58300.0
65.0,SK바이오사이언스,77500.0,1200.0,+1.57%,500.0,76900.0,79500.0,76800.0
66.0,TIGER CD금리투자KIS(합성),52710.0,5.0,+0.01%,0.0,52710.0,52715.0,52710.0
67.0,유한양행,67100.0,7000.0,+11.65%,1000.0,60100.0,69100.0,60100.0
68.0,DB손해보험,72000.0,1000.0,+1.41%,500.0,71000.0,72400.0,70800.0
69.0,한국항공우주,52100.0,300.0,-0.57%,5000.0,52200.0,52600.0,51300.0
70.0,맥쿼리인프라,12450.0,30.0,+0.24%,0.0,12420.0,12550.0,12410.0
71.0,LG디스플레이,14040.0,400.0,-2.77%,5000.0,14370.0,14370.0,14020.0
72.0,한온시스템,9000.0,60.0,-0.66%,100.0,9030.0,9080.0,8890.0
73.0,HD현대,60000.0,1000.0,+1.69%,1000.0,58900.0,60100.0,58400.0
74.0,오리온,119000.0,1500.0,+1.28%,500.0,119100.0,120500.0,117600.0
75.0,한국타이어앤테크놀로지,37000.0,300.0,+0.82%,500.0,36350.0,37050.0,36150.0
76.0,LG유플러스,10350.0,30.0,+0.29%,5000.0,10330.0,10420.0,10310.0
77.0,현대제철,33600.0,200.0,+0.60%,5000.0,33300.0,33950.0,32700.0
78.0,한미반도체,44800.0,1150.0,-2.50%,100.0,43700.0,45300.0,43250.0
79.0,CJ제일제당,282000.0,5500.0,+1.99%,5000.0,275500.0,284000.0,274000.0
80.0,현대건설,37700.0,300.0,+0.80%,5000.0,37550.0,38100.0,36850.0
81.0,미래에셋증권,6910.0,40.0,-0.58%,5000.0,6920.0,6980.0,6840.0
82.0,넷마블,48450.0,400.0,+0.83%,100.0,47700.0,48650.0,47500.0
83.0,현대오토에버,149500.0,2800.0,+1.91%,500.0,145600.0,149700.0,143600.0
84.0,F&F,102600.0,2400.0,-2.29%,100.0,104600.0,104700.0,102100.0
85.0,현대차2우B,105000.0,100.0,-0.10%,5000.0,104800.0,105500.0,104500.0
86.0,금호석유,124800.0,300.0,+0.24%,5000.0,125000.0,126000.0,123500.0
87.0,SKC,96600.0,1300.0,-1.33%,5000.0,96500.0,97800.0,96000.0
88.0,현대미포조선,90500.0,300.0,-0.33%,5000.0,91100.0,92400.0,89400.0
89.0,한미약품,285000.0,12000.0,+4.40%,2500.0,273000.0,288500.0,273000.0
90.0,GS,38500.0,400.0,+1.05%,5000.0,38100.0,38600.0,37850.0
91.0,KODEX KOFR금리액티브(합성),103680.0,25.0,+0.02%,0.0,103680.0,103680.0,103675.0
92.0,현대로템,32050.0,600.0,-1.84%,5000.0,32650.0,32700.0,31800.0
93.0,강원랜드,16170.0,180.0,-1.10%,500.0,16310.0,16340.0,16120.0
94.0,씨에스윈드,79900.0,4100.0,-4.88%,500.0,83500.0,83600.0,78900.0
95.0,삼성카드,29000.0,50.0,+0.17%,5000.0,29000.0,29050.0,28800.0
96.0,삼성증권,36150.0,50.0,-0.14%,5000.0,36000.0,36350.0,35850.0
97.0,NH투자증권,9700.0,30.0,+0.31%,5000.0,9680.0,9700.0,9560.0
98.0,코웨이,43250.0,350.0,-0.80%,500.0,43200.0,43700.0,43100.0
99.0,LG화학우,411000.0,14000.0,+3.53%,5000.0,393000.0,417000.0,390000.0
100.0,한진칼,45200.0,400.0,-0.88%,2500.0,45500.0,46200.0,44700.0
101.0,KODEX 종합채권(AA-이상)액티브,105015.0,110.0,-0.10%,0.0,105045.0,105125.0,104885.0
102.0,BGF리테일,167700.0,2300.0,+1.39%,1000.0,165400.0,168200.0,165000.0
103.0,LS,88700.0,600.0,-0.67%,5000.0,88100.0,89600.0,86400.0
104.0,한화시스템,15030.0,150.0,+1.01%,5000.0,14810.0,15130.0,14810.0
105.0,한전기술,73100.0,100.0,-0.14%,200.0,72800.0,73900.0,72200.0
106.0,호텔신라,71100.0,800.0,-1.11%,5000.0,72000.0,72300.0,71100.0
107.0,한국금융지주,49600.0,200.0,-0.40%,5000.0,49450.0,49650.0,48750.0
108.0,TIGER 차이나전기차SOLACTIVE,9790.0,10.0,+0.10%,0.0,9765.0,9890.0,9725.0
109.0,DB하이텍,59900.0,1600.0,-2.60%,5000.0,60800.0,60900.0,59500.0
110.0,LS ELECTRIC,88500.0,1000.0,-1.12%,5000.0,88600.0,89700.0,88200.0
111.0,롯데지주,25150.0,100.0,+0.40%,200.0,25000.0,25400.0,24900.0
112.0,팬오션,4910.0,75.0,-1.50%,1000.0,5000.0,5040.0,4880.0
113.0,현대해상,28900.0,0.0,0.00%,500.0,28800.0,29350.0,28650.0
114.0,영원무역,58000.0,0.0,0.00%,500.0,58000.0,59100.0,57300.0
115.0,쌍용C&E,5080.0,0.0,0.00%,100.0,5110.0,5150.0,5050.0
116.0,HD현대일렉트릭,70400.0,200.0,+0.28%,5000.0,70000.0,71200.0,68800.0
117.0,현대차우,104300.0,300.0,-0.29%,5000.0,104600.0,105100.0,104000.0
118.0,농심,405000.0,4000.0,+1.00%,5000.0,399000.0,407500.0,395000.0
119.0,롯데에너지머티리얼즈,53400.0,1200.0,-2.20%,500.0,53800.0,54300.0,53300.0
120.0,TIGER 200,34380.0,10.0,+0.03%,0.0,34140.0,34395.0,33935.0
121.0,TIGER 미국나스닥100,88900.0,540.0,-0.60%,0.0,88375.0,88900.0,88185.0
122.0,휠라홀딩스,39400.0,900.0,+2.34%,1000.0,38850.0,39600.0,38050.0
123.0,키움증권,91200.0,1200.0,-1.30%,5000.0,91600.0,92300.0,90400.0
124.0,한화,31550.0,100.0,-0.32%,5000.0,31350.0,31700.0,30950.0
125.0,한미사이언스,33550.0,700.0,+2.13%,500.0,32750.0,34650.0,32750.0
126.0,HL만도,49800.0,200.0,-0.40%,1000.0,49550.0,50100.0,49150.0
127.0,한국가스공사,25150.0,300.0,-1.18%,5000.0,25450.0,25550.0,25000.0
128.0,한솔케미칼,204500.0,8000.0,-3.76%,5000.0,209500.0,210000.0,204000.0
129.0,이수페타시스,36500.0,650.0,-1.75%,1000.0,35550.0,36900.0,35100.0
130.0,HD현대인프라코어,11410.0,380.0,-3.22%,1000.0,11700.0,11790.0,11270.0
131.0,GS리테일,21450.0,50.0,+0.23%,1000.0,21350.0,21550.0,21300.0
132.0,아모레G,26850.0,250.0,-0.92%,500.0,26800.0,27450.0,26800.0
133.0,BNK금융지주,6680.0,10.0,+0.15%,5000.0,6670.0,6700.0,6620.0
134.0,코스모화학,61500.0,300.0,+0.49%,1000.0,59900.0,63400.0,59100.0
135.0,이마트,76800.0,1400.0,-1.79%,5000.0,77500.0,78000.0,76600.0
136.0,한화생명,2440.0,15.0,+0.62%,5000.0,2435.0,2475.0,2420.0
137.0,제일기획,18110.0,230.0,-1.25%,200.0,18220.0,18310.0,18070.0
138.0,동원산업,40950.0,1550.0,+3.93%,1000.0,39400.0,41600.0,39150.0
139.0,효성첨단소재,450000.0,2500.0,-0.55%,5000.0,450500.0,452000.0,445000.0
140.0,KODEX 레버리지,17170.0,10.0,-0.06%,0.0,16935.0,17185.0,16730.0
141.0,에스원,52700.0,400.0,-0.75%,500.0,52700.0,53000.0,52300.0
142.0,롯데쇼핑,70400.0,200.0,-0.28%,5000.0,70000.0,70700.0,69800.0
143.0,TIGER 미국S&P500,14625.0,100.0,+0.69%,0.0,14505.0,14625.0,14500.0
144.0,KODEX 200TR,11700.0,5.0,-0.04%,0.0,11680.0,11710.0,11550.0
145.0,CJ,66000.0,2500.0,+3.94%,5000.0,63500.0,68000.0,62500.0
146.0,OCI홀딩스,115400.0,2400.0,-2.04%,5000.0,117900.0,117900.0,113800.0
147.0,동서,18890.0,60.0,+0.32%,500.0,18800.0,18980.0,18710.0
148.0,신세계,190800.0,200.0,+0.10%,5000.0,189400.0,191300.0,188500.0
149.0,KODEX 200선물인버스2X,2495.0,0.0,0.00%,0.0,2525.0,2560.0,2490.0
150.0,삼아알미늄,124900.0,5100.0,+4.26%,500.0,117100.0,127000.0,115900.0
151.0,LX세미콘,112800.0,3700.0,-3.18%,500.0,115300.0,115800.0,112800.0
152.0,KCC,205500.0,2500.0,-1.20%,5000.0,206500.0,210000.0,205500.0
153.0,KODEX 23-12 은행채(AA+이상)액티브,10350.0,5.0,-0.05%,0.0,10350.0,10355.0,10345.0
154.0,에스엘,38900.0,950.0,+2.50%,500.0,37650.0,39100.0,37000.0
155.0,현대위아,66100.0,400.0,-0.60%,5000.0,66000.0,67900.0,65500.0
156.0,두산퓨얼셀,27350.0,600.0,-2.15%,100.0,27550.0,27900.0,27300.0
157.0,대우건설,4295.0,25.0,+0.59%,5000.0,4280.0,4345.0,4235.0
158.0,이수스페셜티케미컬,324000.0,14000.0,-4.14%,5000.0,328500.0,335000.0,321500.0
159.0,LIG넥스원,80200.0,500.0,-0.62%,5000.0,80700.0,80700.0,79400.0
160.0,대덕전자,35250.0,1550.0,-4.21%,500.0,35350.0,35650.0,34800.0
161.0,롯데정밀화학,67200.0,1500.0,+2.28%,5000.0,65400.0,67400.0,65300.0
162.0,CJ대한통운,75300.0,2100.0,-2.71%,5000.0,77400.0,77500.0,75100.0
163.0,JB금융지주,8550.0,30.0,-0.35%,5000.0,8590.0,8630.0,8500.0
164.0,대한전선,13280.0,180.0,-1.34%,1000.0,13440.0,13440.0,13230.0
165.0,현대엘리베이,42150.0,1250.0,-2.88%,5000.0,43650.0,43800.0,41700.0
166.0,TIGER 미국테크TOP10 INDXX,13520.0,155.0,-1.13%,0.0,13390.0,13525.0,13385.0
167.0,덴티움,145200.0,3400.0,+2.40%,500.0,142500.0,148100.0,142000.0
168.0,TIGER 미국필라델피아반도체나스닥,12575.0,255.0,-1.99%,0.0,12475.0,12585.0,12465.0
169.0,TCC스틸,58900.0,5300.0,+9.89%,1000.0,52700.0,59900.0,52500.0
170.0,HD현대건설기계,78100.0,2400.0,-2.98%,5000.0,79800.0,80000.0,78100.0
171.0,효성티앤씨,349000.0,3500.0,-0.99%,5000.0,348000.0,350000.0,343500.0
172.0,오뚜기,371000.0,500.0,+0.13%,5000.0,370500.0,371500.0,368500.0
173.0,한전KPS,32850.0,50.0,-0.15%,200.0,32700.0,33200.0,32650.0
174.0,KG모빌리티,7790.0,60.0,-0.76%,5000.0,7770.0,7920.0,7720.0
175.0,두산,87000.0,1400.0,-1.58%,5000.0,88200.0,88300.0,86700.0
176.0,영풍제지,30650.0,300.0,-0.97%,500.0,31000.0,31800.0,30000.0
177.0,솔루엠,28350.0,850.0,-2.91%,500.0,28650.0,28750.0,28000.0
178.0,코오롱인더,51300.0,400.0,-0.77%,5000.0,51300.0,51900.0,50300.0
179.0,하이트진로,20050.0,150.0,-0.74%,5000.0,20000.0,20150.0,19990.0
180.0,SK네트웍스,5910.0,10.0,+0.17%,2500.0,5880.0,5950.0,5850.0
181.0,TIGER 2차전지테마,36245.0,985.0,+2.79%,0.0,34290.0,36350.0,34255.0
182.0,LX인터내셔널,35600.0,600.0,+1.71%,5000.0,34700.0,35950.0,34500.0
183.0,TIGER MSCI Korea TR,14730.0,45.0,-0.30%,0.0,14595.0,14735.0,14555.0
184.0,녹십자,114400.0,2200.0,+1.96%,5000.0,111900.0,115900.0,111700.0
185.0,KODEX 2차전지산업,32485.0,710.0,+2.23%,0.0,30960.0,32685.0,30920.0
186.0,KBSTAR 200,34565.0,5.0,+0.01%,0.0,34470.0,34590.0,34125.0
187.0,금호타이어,4535.0,50.0,+1.11%,5000.0,4490.0,4535.0,4415.0
188.0,현대백화점,55200.0,200.0,+0.36%,5000.0,55000.0,55500.0,54700.0
189.0,KODEX 단기채권PLUS,107200.0,15.0,+0.01%,0.0,107190.0,107200.0,107190.0
190.0,효성,59100.0,100.0,+0.17%,5000.0,58500.0,59600.0,58500.0
191.0,후성,13190.0,20.0,-0.15%,500.0,13050.0,13320.0,12900.0
192.0,에스디바이오센서,11800.0,170.0,-1.42%,500.0,11940.0,12340.0,11560.0
193.0,DGB금융지주,7250.0,30.0,+0.42%,5000.0,7220.0,7270.0,7170.0
194.0,GS건설,14320.0,10.0,+0.07%,5000.0,14310.0,14580.0,14260.0
195.0,DL이앤씨,31500.0,0.0,0.00%,5000.0,31600.0,31850.0,31100.0
196.0,SK케미칼,70300.0,5400.0,+8.32%,5000.0,79500.0,82000.0,69700.0
197.0,효성중공업,130000.0,3500.0,-2.62%,5000.0,131200.0,133300.0,129600.0
198.0,한올바이오파마,23100.0,1100.0,+5.00%,500.0,22000.0,23550.0,21950.0
199.0,솔루스첨단소재,34350.0,600.0,-1.72%,100.0,34450.0,34950.0,34100.0
200.0,SK오션플랜트,22200.0,50.0,-0.22%,500.0,22050.0,22250.0,21550.0
201.0,KODEX 삼성그룹,9370.0,25.0,-0.27%,0.0,9350.0,9410.0,9310.0
202.0,해성디에스,69300.0,3000.0,-4.15%,5000.0,69700.0,70800.0,68500.0
203.0,동원시스템즈,40050.0,1200.0,+3.09%,5000.0,39000.0,40900.0,38350.0
204.0,롯데칠성,123800.0,900.0,-0.72%,500.0,125500.0,125500.0,123500.0
205.0,대웅제약,99000.0,1700.0,+1.75%,2500.0,97300.0,99700.0,97100.0
206.0,애경케미칼,23500.0,150.0,-0.63%,500.0,22700.0,23850.0,22450.0
207.0,한샘,48350.0,3400.0,+7.56%,1000.0,44400.0,48650.0,44400.0
208.0,SK가스,122800.0,1100.0,-0.89%,5000.0,123000.0,123500.0,121500.0
209.0,풍산,40100.0,700.0,-1.72%,5000.0,40600.0,40650.0,39900.0
210.0,제주항공,14580.0,240.0,-1.62%,1000.0,14880.0,14880.0,14560.0
211.0,TIGER TOP10,11670.0,35.0,+0.30%,0.0,11580.0,11675.0,11450.0
212.0,코스맥스,98400.0,1700.0,+1.76%,500.0,95800.0,99300.0,95800.0
213.0,한국앤컴퍼니,11710.0,10.0,+0.09%,500.0,11790.0,11790.0,11640.0
214.0,KBSTAR 종합채권(A-이상)액티브,97385.0,205.0,-0.21%,0.0,97485.0,97495.0,97290.0
215.0,명신산업,20850.0,150.0,-0.71%,500.0,20550.0,21200.0,20500.0
216.0,OCI,146300.0,2800.0,-1.88%,5000.0,146200.0,148300.0,144400.0
217.0,한국콜마,46650.0,450.0,+0.97%,500.0,46050.0,47650.0,46050.0
218.0,TIGER KOFR금리액티브(합성),102245.0,5.0,0.00%,0.0,102245.0,102250.0,102245.0
219.0,아이에스동서,34150.0,250.0,-0.73%,500.0,34200.0,35300.0,33650.0
220.0,영원무역홀딩스,76200.0,200.0,+0.26%,500.0,76000.0,77000.0,75100.0
221.0,일진하이솔루스,28550.0,200.0,-0.70%,500.0,28550.0,28650.0,28300.0
222.0,영풍,559000.0,4000.0,-0.71%,5000.0,563000.0,575000.0,556000.0
223.0,세아베스틸지주,28650.0,50.0,-0.17%,5000.0,28150.0,28850.0,28000.0
224.0,종근당,79500.0,1200.0,+1.53%,2500.0,78500.0,80600.0,78100.0
225.0,PI첨단소재,34000.0,50.0,+0.15%,500.0,33950.0,34650.0,33500.0
226.0,롯데렌탈,27200.0,150.0,+0.55%,5000.0,27050.0,27300.0,26800.0
227.0,DN오토모티브,98800.0,2100.0,-2.08%,500.0,99500.0,101900.0,98200.0
228.0,TIGER 단기통안채,103980.0,10.0,+0.01%,0.0,103975.0,103990.0,103975.0
229.0,코리안리,6910.0,100.0,+1.47%,500.0,6850.0,6970.0,6790.0
230.0,SK리츠,4935.0,0.0,0.00%,500.0,4935.0,5000.0,4900.0
231.0,롯데웰푸드,98600.0,900.0,+0.92%,500.0,97900.0,98700.0,97100.0
232.0,TKG휴켐스,22700.0,150.0,-0.66%,1000.0,22650.0,22850.0,22400.0
233.0,율촌화학,37200.0,750.0,-1.98%,500.0,37600.0,37650.0,36250.0
234.0,KODEX 코스닥150선물인버스,3535.0,20.0,-0.56%,0.0,3625.0,3630.0,3530.0
235.0,NHN,26000.0,850.0,-3.17%,500.0,26450.0,26550.0,25900.0
236.0,비에이치,26250.0,400.0,-1.50%,500.0,26300.0,26850.0,25850.0
237.0,KODEX 코스닥150레버리지,13905.0,175.0,+1.27%,0.0,13210.0,13955.0,13115.0
238.0,오리온홀딩스,14320.0,290.0,+2.07%,500.0,14000.0,14350.0,13990.0
239.0,LG전자우,52000.0,800.0,-1.52%,5000.0,52000.0,52400.0,51600.0
240.0,삼양식품,118500.0,2200.0,+1.89%,5000.0,116300.0,120600.0,115600.0
241.0,JW중외제약,38800.0,400.0,+1.04%,2500.0,39150.0,39550.0,38200.0
242.0,롯데리츠,3645.0,20.0,+0.55%,500.0,3625.0,3675.0,3610.0
243.0,더존비즈온,28600.0,700.0,-2.39%,500.0,29100.0,29250.0,28550.0
244.0,대한유화,133400.0,1500.0,-1.11%,5000.0,136200.0,136200.0,132100.0
245.0,아시아나항공,11630.0,120.0,-1.02%,5000.0,11760.0,11830.0,11580.0
246.0,신풍제약,16200.0,200.0,+1.25%,500.0,16050.0,16450.0,15850.0
247.0,GKL,13750.0,310.0,-2.20%,500.0,14090.0,14090.0,13720.0
248.0,삼부토건,4290.0,160.0,-3.60%,1000.0,4425.0,4580.0,4280.0
249.0,조선내화,21200.0,0.0,0.00%,500.0,0.0,0.0,0.0
250.0,TIGER 200 IT,32550.0,400.0,-1.21%,0.0,32725.0,32725.0,32350.0
251.0,진에어,16180.0,250.0,-1.52%,1000.0,16440.0,16490.0,16120.0
252.0,드림텍,12500.0,0.0,0.00%,100.0,12180.0,12730.0,12010.0
253.0,HSD엔진,11780.0,140.0,-1.17%,1000.0,11920.0,11940.0,11590.0
254.0,ESR켄달스퀘어리츠,3915.0,5.0,-0.13%,1000.0,3915.0,3975.0,3880.0
255.0,KG스틸,8340.0,10.0,+0.12%,5000.0,8260.0,8350.0,8130.0
256.0,제이알글로벌리츠,4150.0,5.0,+0.12%,1000.0,4145.0,4200.0,4130.0
257.0,KODEX 단기채권,106515.0,10.0,+0.01%,0.0,106520.0,106530.0,106515.0
258.0,다우기술,18140.0,10.0,-0.06%,500.0,18200.0,18300.0,18010.0
259.0,넥센타이어,8290.0,70.0,-0.84%,500.0,8320.0,8390.0,8180.0
260.0,미원상사,166900.0,100.0,-0.06%,500.0,167000.0,167800.0,165200.0
261.0,한일시멘트,11650.0,40.0,-0.34%,500.0,11610.0,11670.0,11560.0
262.0,하나투어,50000.0,50.0,+0.10%,500.0,49800.0,50400.0,49600.0
263.0,세아제강지주,191300.0,4300.0,-2.20%,5000.0,195600.0,196300.0,189100.0
264.0,DL,37800.0,400.0,+1.07%,5000.0,37350.0,38150.0,37000.0
265.0,이노션,39600.0,500.0,-1.25%,500.0,40100.0,40100.0,39500.0
266.0,경동나비엔,53100.0,1300.0,+2.51%,1000.0,51600.0,53400.0,51300.0
267.0,롯데관광개발,10390.0,150.0,-1.42%,500.0,10450.0,10530.0,10200.0
268.0,KOSEF 국고채10년,110220.0,485.0,-0.44%,0.0,110150.0,110430.0,110020.0
269.0,미원에스씨,147500.0,2400.0,+1.65%,500.0,145100.0,147500.0,144100.0
270.0,KODEX 인버스,4480.0,5.0,+0.11%,0.0,4510.0,4540.0,4475.0
271.0,더블유게임즈,41150.0,300.0,-0.72%,500.0,41550.0,41650.0,41100.0
272.0,SNT모티브,50800.0,0.0,0.00%,5000.0,50800.0,50900.0,49750.0
273.0,한세실업,18560.0,340.0,+1.87%,500.0,18330.0,18880.0,17900.0
274.0,대웅,12510.0,270.0,+2.21%,500.0,12260.0,12660.0,12140.0
275.0,화신,20800.0,900.0,+4.52%,500.0,19880.0,21850.0,19210.0
276.0,KODEX 자동차,19320.0,5.0,-0.03%,0.0,19275.0,19370.0,19060.0
277.0,KBSTAR 머니마켓액티브,50425.0,0.0,0.00%,0.0,50420.0,50425.0,50420.0
278.0,SK디스커버리,37800.0,750.0,+2.02%,5000.0,39300.0,39500.0,37400.0
279.0,HDC현대산업개발,10700.0,50.0,+0.47%,5000.0,10650.0,10730.0,10520.0
280.0,세방전지,49950.0,600.0,+1.22%,500.0,49050.0,50200.0,48700.0
281.0,KCC글라스,43650.0,350.0,-0.80%,1000.0,44200.0,44200.0,43350.0
282.0,F&F홀딩스,17800.0,350.0,-1.93%,500.0,17860.0,18010.0,17700.0
283.0,프레스티지바이오파마,11530.0,430.0,+3.87%,0.0,10920.0,12800.0,10900.0
284.0,태광산업,622000.0,12000.0,+1.97%,5000.0,613000.0,626000.0,605000.0
285.0,서연이화,25450.0,300.0,+1.19%,500.0,24500.0,25950.0,24300.0
286.0,대신증권,13510.0,100.0,-0.73%,5000.0,13610.0,13640.0,13490.0
287.0,KODEX Top5PlusTR,18185.0,50.0,+0.28%,0.0,17920.0,18185.0,17885.0
288.0,녹십자홀딩스,14150.0,370.0,+2.69%,500.0,13750.0,14290.0,13750.0
289.0,ARIRANG 200,34840.0,10.0,-0.03%,0.0,34510.0,34860.0,34400.0
290.0,애경산업,24350.0,900.0,-3.56%,1000.0,24900.0,25550.0,24200.0
291.0,TIGER 차이나항셍테크,5795.0,70.0,+1.22%,0.0,5725.0,5860.0,5725.0
292.0,KG케미칼,45950.0,2000.0,-4.17%,5000.0,47150.0,47500.0,45600.0
293.0,우리종금,727.0,2.0,+0.28%,500.0,725.0,767.0,717.0
294.0,자화전자,28950.0,1000.0,-3.34%,500.0,29550.0,29600.0,28850.0
295.0,DI동일,24250.0,100.0,+0.41%,500.0,23800.0,24400.0,23750.0
296.0,미래에셋생명,3545.0,30.0,-0.84%,5000.0,3560.0,3580.0,3535.0
297.0,케이카,13020.0,170.0,-1.29%,500.0,13190.0,13240.0,13000.0
298.0,KODEX MSCI Korea TR,11745.0,20.0,-0.17%,0.0,11765.0,11765.0,11600.0
299.0,한국단자,59200.0,300.0,-0.50%,500.0,59000.0,59500.0,58900.0
300.0,티웨이항공,3060.0,40.0,-1.29%,500.0,3135.0,3135.0,3025.0
301.0,신세계인터내셔날,17160.0,90.0,-0.52%,1000.0,17210.0,17350.0,17140.0
302.0,한국카본,13930.0,270.0,-1.90%,500.0,14100.0,14300.0,13780.0
